1. agencias		Comentário: Cadastro das agências bancárias onde os funcionários podem ter uma conta.			
7. areadeestudodisciplinas		Comentário: Registro das áreas de estudo de cada disciplina de curso. É o desmembramento de um relacionamento N:M.			
1	pkareaestdisciplina	integer	NI	Sim	pk da Tabela [pkareadeestudodisciplina]=[pkareaestdisciplina]. Número inteiro sequencial crescente de 1 em 1.
2	ukcedisciplina	integer	NI	Sim	Parte da CC [uk1areadeestudodisciplina]=[ccceareadeestudo,cccedisciplina], CE [fk1areadeestudodisciplina]=[cccedisciplina] apontando para a Tabela disciplinas[pkdisciplina].
3	ukceareadeestudo	integer	NI	Sim	Parte da CC [uk1areadeestudodisciplina]=[ukceareadeestudo,cccedisciplina], CE [fk2areadeestudodisciplina]=[ccceareadeestudo] apontando para a tabela areadeestudos [pkareaestudo].
4	dtcadareaestdisc	date	NI	Sim	Data de geração do registro.
					
8. areadeestudolivros		Comentário: Registro das áreas de estudos de cada livro. É o desmembramento de um relacionamento N:M.			
1	pkareaestlivro	integer	NI	Sim	pk da Tabela [pkareadeestudolivro]=[pkareaestlivro]. Número inteiro sequencial crescente de 1 em 1.
2	ukcelivro	integer	NI	Sim	Parte da CC [uk1areadeestudolivro]=[ccceareadeestudo,cccelivro], CE [fk1areadeestudolivro]=[cccelivro] apontando para a tabela livros[pklivro].
3	ukceareadeestudo	integer	NI	Sim	Parte da CC [uk1areadeestudolivro]=[ukceareadeestudo,fklivro], CE [fk2areadeestudolivro]=[fkareadeestudo] apontando para tabela areadeestudos[pkareaestudo].
4	nugrauinfluencia	numeric	NI	Nao	Percentagem de cobertura da Área de Estudo no livro (num. inteiro]
5	dtcadareaestlivro	date	NI	Sim	Data de geração do registro.
					
9. armazens		Comentário: Cadastro dos Armazens dos clientes para onde as vendas registradas por um funcionario podem ser entregues.			
1	pkarmazem	smallint	NI	Sim	Pk da Tabela [pkarmazem]=[pkarmazem]. Número inteiro sequencial crescente de 1 em 1.
2	txnomearmazem	character varying	50	Sim	Nome curto ou usual do Armazem. Como ele é identificado informalmente.
3	txdescricaogeral	character varying	500	Nao	Texto com descrição completa do armazém (capacidade, pé direito médio, etc.].
4	fklogradouro	integer	NI	Nao	fk [fk1armazem]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está o armazém.
5	txcomplemento	character varying	50	Nao	Texto com o complemento do logradouro da agência bancária (número, andar, etc.]
6	fkcliente	integer	NI	Sim	fk [fk2armazem]=[fkcliente] apontando para a tabela cliente[pkcliente] que é dono ou aluga o armazém.
7	nutelefone	character	12	Nao	Número de telefone. Formato OP-DD-TTTT-RRRR, sem o ZERO no início, só numeros.
8	nucep	character	8	Nao	Número do CEP (somente números].
9	qtarea	double precision	NI	Sim	Número inteiro indicando a área total.
10	dtcadarmazem	date	NI	Sim	Data de geração do registro.
					
10. armazenstels		Comentário: Cadastro com os números e tipos de telefones dos armazens dos clientes.			
1	pkarmazemtel	integer	NI	Sim	pk da Tabela [pkarmazemtel]=[pkarmazemtel]. Número inteiro sequencial crescente de 1 em 1.
2	fkarmazem	smallint	NI	Sim	fk [fk1armazemtel]=[fkarmazem] apontando para a tabela armazens[pkarmazem].
4	fkteltipo	smallint	NI	Nao	fk [fk2armazemtel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
5	nutelefone	character	15	Sim	Número do telefone referente ao tipo na agência.
6	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
7	dtcadarmazemtel	date	NI	Nao	Data de geração do registro.
					
11. atividades		Comentário: Cadastro com as atividades profissionais desempenhadas por um funcionário.			
1	pkatividade	integer	NI	Sim	pk da Tabela [pkatividade]=[pkatividade]. Número inteiro sequencial crescente de 1 em 1.
2	txnomeatividade	character varying	50	Sim	Nome curto ou usual.
3	txdescricaoativ	character varying	500	Sim	Descrição detalhada e completa de uma atividade profissional.
4	dtcadatividade	date	NI	Sim	Data de geração do registro.
					
12. atribuicoes		Comentário: Registro dos Professores de cada uma da Disciplinas. É o desmembramento do relacionamento N:M. Tem a CC composta.			
1	pkatribuicao	integer	NI	Sim	pk da tabela [pkatribuicao]=[pkatribuicao].
2	ukceprofessor	smallint	NI	Sim	Parte da CC [uk1atribuicao]=[ccceprofessor,cccedisciplina], CE [fk1atribuicao]=[ccceprofessor] apontando para a tabela professores[pkprofessor].
3	ukcedisciplina	integer	NI	Sim	Parte da CC [uk1atribuicao]=[ccceprofessor,cccedisciplina], CE [fk2atribuicao]=[cccedisciplina] apontando para a tabela disciplinas[pkdisciplina].
4	qthorasatribuidas	numeric	NI	Sim	Quantidade de horas de uma disciplina atribuídas ao professor para a disciplina.
5	dtatribuicao	date	NI	Sim	Data de atribuição da disciplina ao professor
6	dtcadatribuicao	date	NI	Nao	Data de geração do registro.
					
13. atuacoes		Comentário: Registro das atuações profissionais dos funcionários nos projetos. É um desmembramento de um N:M e tem uma CCK composta.			
1	pkatuacao	smallint	NI	Sim	pk da tabela [pkatuacao]=[pkatuacao]. Número inteiro sequencial crescente de 1 em 1.
2	ukcetarefaprojeto	integer	NI	Sim	Parte da CC [uk1atuacao]=[cccetarefaprojeto,cccefuncionario,ccdtinicio], CE [fk1atuacao]=[cccetarefaprojeto] apontando para a tabela tarefasprojetos[pktarefaprojeto].
3	ukcefuncionario	smallint	NI	Sim	Parte da CC [uk1atuacao]=[cccetarefaprojeto,cccefuncionario,ccdtinicio], CE [fk2atuacao]=[cccefuncionario] apontando para tabela funcionarios[pkfuncionario].
4	ukdtinicio	date	NI	Sim	Parte da CC [uk1atuacao]=[fktarefaprojeto,fkfuncionario,dtinicio], é a Data de início de atuação do Funcionário em uma tarefa de um projeto.
5	dttermino	date	NI	Nao	Data de término de atuação do funcionário em uma tarefa de um projeto.
6	qttempoduracao	numeric	NI	Sim	Quantidade de horas de participação do funcionário em uma tarefa de um projeto.
7	dtcadatuacao	date	NI	Sim	Data de geração do registro.
					
14. autores		Comentário: Cadastro dos autores de alguma forma de publicação de conhecimento. Na maioria dos casos são autores de livros.			
1	pkautor	integer	NI	Sim	pk da Tabela [pkautor]=[pkautor]. Número inteiro sequencial crescente de 1 em 1.
2	txnomeautor	character	90	Sim	Nome completo do autor.
3	fklogradouro	integer	NI	Nao	fk [fk1autor]=[fklogradouro] apontando para a visão logrcompleto[pklogradouro] onde está residência do autor.
4	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro de residência do autor (número, andar, etc.]
5	nucep	character	8	Sim	Número do CEP (somente números].
6	dtnascimento	date	NI	Sim	Data de nascimento do autor
7	dtcadautor	date	NI	Sim	Data de geração do registro.
					
15. autorestels		Comentário: Registro dos telefones de cada autor de publicação.			
1	pkautortel	integer	NI	Sim	pk da Tabela [pkautortel]=[pkautortel]. Número inteiro sequencial crescente de 1 em 1.
2	fkautor	integer	NI	Sim	fk [fk1autortel]=[fkautor] apontando para a tabela autores[pkautor]
3	fkteltipo	smallint	NI	Nao	fk [fk2autortel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo].
4	nutelefone	character	15	Sim	Número do telefone (com operadora e DDD - somente os números]
5	dtcadautortel	date	NI	Nao	Data de geração do registro.
					
16. autorias		Comentário: Registro dos autores de um livro. É o desmembramento de um relacionamento N:M. A Chave Primária é composta.			
1	pkautoria	integer	NI	Sim	pk da Tabela [pkautoria]=[pkautoria]. Número inteiro sequencial crescente de 1 em 1.
2	ukcelivro	integer	NI	Sim	Parte de uma CC composta [uk1autoria]=[fklivro,fkautor], CE [fk1autoria]=[fklivro] apontando para a tabela livros[pklivro].
3	ukceautor	integer	NI	Sim	Parte de uma CC composta [uk1autoria]=[fklivro,fkautor], CE [fk2autoria]=[fkautor] apontando para a tabela autores[pkautor]
4	dtcadautoria	date	NI	Sim	Data de geração do registro.
					
17. bairros		Comentário: Cadastro dos bairros das cidades.			
1	pkbairro	integer	NI	Sim	pk da Tabela [pkbairro]=[pkbairro]. Número inteiro sequencial crescente de 1 em 1.
2	txnomebairro	character varying	120	Sim	Texto com o nome do bairro da cidade.
3	fkcidade	integer	NI	Sim	fk [fk1bairro]=[fkcidade] apontando para a tabela cidades[pkcidade] onde se localiza o bairro.
4	dtcadbairro	date	NI	Sim	Data de geração do registro.
					
18. bairroslogradouros		Comentário: Tabela de Ligação entre bairros e logradouros (relacionamento N:M].			
1	pkbairrologradouro	integer	NI	Sim	pk da Tabela [pkbairrologradouro]=[pkbairrologradouro]. Número sequencial crescente de 1 em 1.
2	fkbairro	integer	NI	Nao	fk [fk1bairrologradouro]=[fkbairro], apontando para tabela bairros[pkbairro].
3	fklogradouro	integer	NI	Nao	fk [fk2bairrologradouro]=[fklogradouro], apontando para a tabela logradouros[pklogradouro].
4	dtcadbairrologradouro	date	NI	Nao	Data de geração do registro.
					
19. bancos		Comentário: Cadastro dos bancos do sistema financeiro onde funcionarios podem ter contas.			
1	pkbanco	character	3	Sim	pk da Tabela [pkbanco]=[pkbanco]. Código do Banco na Federação Brasileira de Bancos.
2	txnomebanco	character varying	100	Sim	Nome completo do banco (razão social sem abreviações].
3	dtfundacao	date	NI	Sim	Data de fundação do banco.
4	aocompetencia	character	1	Sim	(F]ederal, (E]stadual, (I]nterestadual, (D]istrital, (P]rivado, (C]ooperativo
5	fklogradourosede	integer	NI	Nao	fk [fk1banco]=[fklogradourosede] apontando para a tabela logradouros[pklogradouro] [pklogradouro] com o logradouro da sede do banco.
6	txcomplemento	character varying	50	Nao	Número do imóvel, localização referencial (outros imóveis próximos].
7	nucepsede	character	8	Nao	Número do CEP
9	nucnpjbanco	character	15	Nao	Número do CNPJ do Banco.
10	txsigla	character varying	25	Nao	Uma sigla que está associada ao banco.
11	website	character varying	250	Nao	Endereço do WebSite do banco (se houver].
12	aosituacao	character	1	Nao	Indica se o banco é P-Público, V-Privado, C-Cooperativo, E-Extinto, etc.
13	aohistorico	character	1	Nao	Indica se o Banco está: A-Ativo, C-Comprado, F-Fundido, L-Liquidado, etc.
14	qtagencias	smallint	NI	Nao	Quantidade de agências do banco (estimativo].
15	aocapitalaberto	character	1	Nao	S|N – indicando se banco negocia participação com ações no mercado.
8	dtcadbanco	date	NI	Sim	Data de geração do registro.
					
20. bibliografias		Comentário: Registro dos livros da bilbiografia das disciplinas de um curso.É o desmembramento de um N:M. Tem a CP composta.			
1	pkbibliografia	integer	NI	Sim	pk da Tabela [pkbibliografia]=[pkbibliografia]. Número inteiro sequencial iniciando de 1.
2	ukcedisciplina	smallint	NI	Sim	uk [uk1bibliografia]=[cccedisciplina,cccelivro] [composta] e CE [fk1bibliografia]=[cccedisciplina] apontando para a tabela disciplinas[pkdisciplina].
3	ukcelivro	integer	NI	Sim	uk [uk1bibliografia]=[cccedisciplina,cccelivro] [composta] e CE [fk2bibliografia]=[cccelivro] apontando para tabela livros[pklivro].
4	aotipo	character	1	Sim	Letra indicando o tipo de bibliografia (B]ásico ou (C]omplementar
5	dtadocaodolivro	date	NI	Sim	Data que o livro passou a fazer parte da bibliografia da disciplina.
6	dtcadbibliografia	date	NI	Nao	Data de geração do registro.
					
21. capacitacoes		Comentário: Registro dos cursos concluídos pelos funcionários. É o desmembramento do relacionamento N:M. Tem uma CP composta.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkcapacitacao	smallint	NI	Sim	pk da Tabela [pkcapacitacao]=[pkcapacitacao]. Número inteiro sequencial iniciando de 1
2	fkcurso	smallint	NI	Sim	uk [uk1capacitacao]=[fkcurso,funcionarioce] [composta] e CE [fk1capacitacao]=[fkcurso] apontando para a tabela cursos[pkcurso].
3	fkfuncionario	smallint	NI	Sim	uk [uk1capacitacao]=[fkcurso,fkfuncionario] [composta] e CE [fk2capacitacao]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
4	dtcapacitacao	date	NI	Sim	Data de capacitação do funcionário (quando terminou o curso].
5	nucertificado	smallint	NI	Nao	Número do Certificado emitido para o curso concluído.
6	dtregistro	date	NI	Sim	Data de registro do diploma do funcionário (em órgão público competente].
7	dtcadcapacitacao	date	NI	Sim	Data de geração do registro.
					
22. cidades		Comentário: Cadastro das cidades. A partir delas os bairros e por fim os logradouros.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkcidade	integer	NI	Sim	pk da Tabela [pkcidade]=[pkcidade].
2	txnomecidade	character varying	250	Nao	Nome completo da cidade
3	fkestadodopais	character	2	Nao	fk [fk1cidade]=[fkestadodopais] apontando para tabela estadosdospaises[pkestadodopais] (estados, comarcas ou condados de uma união federativa de estados].
4	txformaacesso	text	NI	Nao	Descrição das formas de acesso à cidade (hidrovias, estrada, ferrovias, etc].
5	qtpopulacao	double precision	NI	Nao	População estimada
6	qtarea	double precision	NI	Nao	Area total municipal.
7	dtfundacao	date	NI	Nao	Data de Fundação da Cidade
8	dtcadcidade	date	NI	Sim	Data de geração do registro.
					
23. clientes		Comentário: Cadastro dos Clientes de uma empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkcliente	integer	NI	Sim	pk da Tabela [pkcliente]=[pkcliente]
2	txnomecliente	character varying	250	Sim	Nome usual completo (sem abreviações] do cliente.
3	txrazaosocial	character varying	250	Nao	Razão social completa do Cliente.
4	fklogradouro	integer	NI	Nao	fk [fk1cliente]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a sede comercial do cliente
5	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.]
6	nucep	character	8	Sim	Número do CEP (somente números]
7	vllimitecompra	double precision	NI	Sim	Valor limite de compra para o cliente
8	aosituacao	character	1	Nao	Atributo Operacional indicando a Situação do Cliente (A-Ativo ou B-Bloqueado].
9	dtcadcliente	date	NI	Sim	Data de geração do registro.
					
24. clientestels		Comentário: Registros dos telefones de cada cliente.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkclientetel	numeric	NI	Sim	pk da Tabela [pkclientetel]=[pkclientetel]. Número inteiro sequencial crescente de 1 em 1.
2	fkcliente	integer	NI	Sim	fk [fk1clientetel]=[fkcliente] apontando para a tabela clientes[pkcliente]
3	fkteltipo	smallint	NI	Nao	fk [fk2clientetel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo]
4	nutelefone	character	15	Sim	Número do telefone (com operadora, DDD e somente os números]
5	txnomecontato	character varying	50	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcadclientetel	date	NI	Nao	Data de geração do registro.
					
25. consultas		Comentário: Registros das consultas marcadas para os médicos atenderem os funcionarios. As consultas podem ser pagas por planos de saúde dos funcionários.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkconsulta	integer	NI	Sim	pk da Tabela [pkconsulta]=[pkconsulta]. Número inteiro sequencial crescente de 1 em 1.
2	fkfuncionario	smallint	NI	Nao	fk [fk1consulta]=[fkfuncionario] apontando para a tabela funcionarios[pkfuncionario].
3	fkmedico	smallint	NI	Sim	fk [fk2consulta]=[fkmedico] apontando para a tabela medicos[pkmedico].
4	dthoraconsulta	timestamp without time zone	NI	Sim	Data e hora da consulta (programada].
5	dthorarealizada	timestamp without time zone	NI	Nao	Data e hora da realização da consulta
6	fkplanodesaude	integer	NI	Nao	fk [fk3consulta]=[fkplanodesaude] apontando para a tabela planosdesaude
7	aosituacaoconsulta	character	1	Sim	Atributo Operacional indicando Agendada, Realizada ou Cancelada
8	dtcadconsulta	date	NI	Sim	Data de geração do registro.
					
26. contas		Comentário: Cadastro das contas bancárias dos funcionarios. A CP desta tabela é composta: cebanco,fkagencia,idnuconta (formam a idconta].			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkfkbanco	character	5	Sim	pk [pkconta]=[pkfkbanco,pkfkagencia,pknuconta] [composta]. CE [fk1conta]=[pkfkbanco,pkfkagencia] [composta] apontando para a tabela agencias(pkfkbanco,pkagencia].
2	pkfkagencia	character	6	Sim	pk [pkconta]=[pkfkbanco,pkfkagencia,pknuconta] [composta]. CE [fk1conta]=[pkfkbanco,pkfkagencia] [composta] apontando para a tabela agencias(pkfkbanco,pkagencia].
3	pknuconta	character	6	Sim	pk [pkconta]=[pkfkbanco,pkfkagencia,pknuconta] [composta]. Sequência que identifica a conta (na agencia do banco], pode conter letras.
4	fkfuncionario	smallint	NI	Nao	fk [fk2conta]=[fkfuncionario] apontando para a tabela funcionario(cpfuncionario] que é o titular da conta.
6	vlsaldo	double precision	NI	Nao	Valor do saldo da conta atualizado a cada movimentação de valor.
5	dtcadconta	date	NI	Nao	Data de geração do registro.
					
27. cores		Comentário: Cadastro de cores pantone usados para veículos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkcor	integer	NI	Sim	pk da Tabela [pkcor]=[pkcor].
2	txnomecor	character varying	250	Sim	Nome completo da cor segundo a tabela Pantone
3	nucodhexadec	character	7	Sim	Número com o Código Hexadecimal da cor.
4	dtcadcor	date	NI	Sim	Data de geração do registro.
					
28. corescarros		Comentário: Tabela de Ligação entre cores e carros[visão] (relacionamento N;M].			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	fkcarro	integer	NI	Sim	pk [pkcorcarro]=[fkcarro,corce] [composta]. CE [fk1corcarro]=[fkcarro] apontando para a tabela veiculos[pkveiculo] (visão -> carros].
2	fkcor	integer	NI	Sim	pk [pkcorcarro]=[fkcarro,fkcor] [composta]. CE [fk2corcarro]=[fkcor] apontando para a tabela cores[pkcor].
3	dtcadcorveiculo	date	NI	Nao	Data de geração do registro.
					
29. cursos		Comentário: Cadastro de cursos de uma instituição.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkcurso	integer	NI	Sim	pk da Tabela [pkcurso]=[pkcurso]
2	txnomecurso	character varying	250	Sim	Nome completo (sem abreviações].
3	fkinstituicao	integer	NI	Nao	fk [fk1curso]=[fkinstituicao] apontando para a tabela instituicoesdeensino[pkinstituicao].
4	qtcargahoraria	integer	NI	Sim	Quantidade de Horas na carga horária do curso.
5	dtcadcurso	date	NI	Sim	Data de geração do registro.
					
30. departamentos		Comentário: Cadastro dos departamentos da empresa onde os funcionarios trabalham.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkdepto	character	3	Sim	pk da Tabela [pkdepartamento]=[pkdepto]. Sequencia de UMA letra e dois números, informados pelo usuário.
2	txnomedepto	character varying	90	Sim	Nome usual completo (sem abreviações]
3	fkfuncionariogerente	smallint	NI	Nao	fk [fk1departamento]=[fkfuncionariogerente] apontando para a tabela funcionarios[pkfuncionario] (gerente do departamento].
4	fkdeptosuperior	character	3	Nao	fk [fk2departamento]=[fkdeptosuperior] apontando para a tabela departamentos[pkdepto]. Código do departamento superior na empresa.
5	txlocalizacao	character varying	80	Nao	Descrição da localização do departamento (Bloco, andar, sala,etc]
6	qtareatotal	smallint	NI	Nao	Quantidade da área ocupada pelo departamento
7	dtcriacaodepto	date	NI	Nao	Data da criação do departamento na empresa
8	dtcaddepartamento	date	NI	Sim	Data de geração do registro.
					
31. departamentostels		Comentário: Registro com os telefones de cada departamento.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkdeptotel	integer	NI	Sim	pk da Tabela [pkdeptotel]=[pkdeptotel].
2	fkdepto	character	3	Sim	fk [fk1deptotel]=[fkdepto] apontando para a tabela departamentos[pkdepto]
3	fkteltipo	smallint	NI	Nao	fk [fk2deptotel]=[fkteltipo] apontando para a tabela telefonestipos[pkteltipo].
4	nutelefone	character	15	Sim	Número do telefone com operadora+DDD+número sem traços ou parenteses.
5	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
6	dtcaddeptotel	date	NI	Nao	Data de geração do registro.
					
32. disciplinas		Comentário: Cadastro das disciplinas oferecidas em um curso			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkdisciplina	integer	NI	Sim	Pk da Tabela [pkdisciplina]=[pkdisciplina].
2	fkcurso	smallint	NI	Sim	fk [fk1disciplina]=[fkcurso] apontando para a tabela cursos[pkcurso]
3	txnomedisciplina	character varying	250	Sim	Nome completo da Disciplina
4	txementa	character varying	250	Nao	Texto com a ementa disciplinar
5	qthoras	smallint	NI	Sim	Quantidade de horas-aulas (de 60 min.] que ocupa e disciplina.
6	txcriterioavaliacao	character varying	500	Nao	Texto com a descrição do critério de avaliação da disciplina.
7	dtcaddisciplina	date	NI	Sim	Data de geração do registro.
					
33. duplicatas		Comentário: Cadastro das Duplicatas que devem ser recebidas pelas vendas feitas em uma empresa.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkduplicata	integer	NI	Sim	pk da Tabela [pkduplicata]=[pkduplicata]. Sequencial crescente positivo.
2	fknunfvenda	integer	NI	Sim	fk [fk1duplicata]=[fknunfvenda] apontando para a tabela nfvendas[pknunfvenda] da qual se gera a Duplicata.
3	dtvencimento	date	NI	Sim	Data de vencimento da duplicata.
4	dtpagamento	date	NI	Nao	Data de pagamento da duplicata.
5	vlduplicata	double precision	NI	Nao	Valor da Duplicata.
6	vldesconto	double precision	NI	Sim	Valor de Desconto.
7	vlliquido	double precision	NI	Sim	Valor Líquido da Duplicata.
8	vlmulta	double precision	NI	Sim	Valor da Multa.
9	dtcadduplicata	date	NI	Sim	Data de geração do registro.
					
34. editoras		Comentário: Cadastro das Editoras de Livros, Revistas e/ou periódicos.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkeditora	integer	NI	Sim	pk da Tabela [pkeditora]=[pkeditora].
2	txnomeeditora	character	70	Sim	Nome usual da editora (sem abreviações ].
3	txrazaosocial	character varying	250	Nao	Razão social completa.
4	nucnpj	character	16	Nao	Número do CNPJ da Editora (somente números].
5	fklogradouro	integer	NI	Nao	fk [fk1editora]=[fklogradouro] apontando apontando para a tabela logradouros[pklogradouro].
6	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro comercial do cliente (número, andar, etc.].
7	nucep	character	8	Nao	Número do CEP (somente números]
8	aoporteeditora	character	1	Nao	P|M|G – Porte da editora (Pequena|Média|Grande].
9	aoabrangencia	character	1	Nao	L|E|N|I - Abrangência da editora (Local|Estadual|Nacional|Internacional]
10	dtfundacao	date	NI	Nao	Data de fundação da editora.
11	dtcadeditora	date	NI	Sim	Data de geração do registro.
					
35. editorastels		Comentário: Registros de telefones de cada editora.			
Pos.	Campo	Tipo do Dado	Tamanho	Requerido	Comentário do campo
1	pkeditoratel	integer	NI	Sim	pk da Tabela [pkeditoratel]=[pkeditoratel].
2	fkeditora	integer	NI	Sim	fk [fk1editoratel]=[fkeditora] apontando para a tabela editoras[pkeditora].
